"回答ID","投稿日時","最終ページ","開始言語","シード","開始日時","最終行動日時","IPアドレス","学籍番号を記入して下さい．(回答必須)","あなたの学年を教えてください．(回答必須)","あなたは留学生ですか？(回答必須)","あなたが所属している学科を選択してください．(回答必須)","あなたが所属している学科を選択してください．(回答必須) [その他]","次の中から所属するコースを選択してください．(回答必須)","次の中から所属するコースを選択してください．(回答必須) [その他]","この授業に対する興味の度合いを教えて下さい。（回答必須）  1=全く興味がない，5=とても興味がある ","授業内容（シラバス）の説明を受けて，この授業の概要や進め方，この授業で身につく能力についてどの程度理解できましたか？(回答必須)  1=全く理解できなかった，5=よく理解できた ","授業内容（シラバス）の説明を受けて，この授業に対して感じたことを記入して下さい．","この授業を受講するにあたって，あなた自身の達成目標は何ですか？","この授業はあなたの将来（就職活動，卒業後）にどれくらい役立つと思いますか？（必須項目）  1=全く役に立たない，5=非常に役に立つ ","この授業にどれくらい期待していますか？（回答必須）  1=全く期待していない，5=非常に期待している ","この授業を受講する理由を教えて下さい．（複数回答可）  [必修授業だから]","この授業を受講する理由を教えて下さい．（複数回答可）  [興味があったから]","この授業を受講する理由を教えて下さい．（複数回答可）  [単位取得のため]","この授業を受講する理由を教えて下さい．（複数回答可）  [その他]","この授業にどれくらい学習意欲を持って受講できそうですか？（必須回答）  1=全く持てない, 5=非常に持てる ","あなたが学習意欲を持って受講できる授業とはどのような授業ですか？","この授業に対するあなたの考え（単位について）に最も近いものを選んで下さい．（必須項目）","この授業に対するあなたの考え（内容について）に最も近いものを選んで下さい．（必須項目）","合計時間","グループ時刻: 所属","質問時刻: G00Q01","質問時刻: G00Q02","質問時刻: G00Q03","質問時刻: G00Q04","質問時刻: G00Q05","グループ時刻: 授業改善のための質問","質問時刻: G02Q07","質問時刻: G02Q06","質問時刻: G02Q08","質問時刻: G02Q10","質問時刻: G02Q14","質問時刻: G02Q16","質問時刻: G02Q09","質問時刻: G02Q11","質問時刻: G02Q12","質問時刻: G02Q13","質問時刻: G02Q15"
"43","2023-04-24 13:09:09","2","ja","459133566","2023-04-24 13:06:23","2023-04-24 13:09:09","14.9.240.1","2112201413","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","4","3","無理なペースでやらなくてよいため積極的に受講したいと感じた。","pythonについて他人に概要を説明できる程度にはなる。","4","4","はい","はい","いいえ","","4","","単位も欲しい","ある程度学びたい","165.41","21.5","","","","","","143.91","","","","","","","","","","",""
"44","2023-04-24 13:08:42","2","ja","1853443810","2023-04-24 13:06:59","2023-04-24 13:08:42","150.97.96.171","2112200656","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","4","4","","","4","5","はい","いいえ","いいえ","","5","","単位が欲しい","多くのことを学びたい","53.83","26.58","","","","","","27.25","","","","","","","","","","",""
"45","","1","ja","1511990562","2023-04-24 13:07:40","2023-04-24 13:08:08","150.97.96.153","2112200223","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","","","","","","","N/A","N/A","N/A","","","","","","27.91","27.91","","","","","","","","","","","","","","","","",""
"46","","1","ja","373976883","2023-04-24 13:07:58","2023-04-24 13:08:25","150.97.96.156","2112201555","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","","","","","","","N/A","N/A","N/A","","","","","","26.56","26.56","","","","","","","","","","","","","","","","",""
"47","2023-04-24 13:09:02","2","ja","1525868334","2023-04-24 13:08:10","2023-04-24 13:09:02","150.97.96.149","2112201502","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","4","4","","","4","4","はい","いいえ","いいえ","","4","","単位も欲しい","ある程度学びたい","52.56","27.06","","","","","","25.5","","","","","","","","","","",""
"48","","1","ja","1290317358","2023-04-24 13:14:06","2023-04-24 13:14:59","150.97.96.124","2112202016","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","","","","","","","N/A","N/A","N/A","","","","","","28.87","28.87","","","","","","","","","","","","","","","","",""
"49","2023-04-24 13:30:05","2","ja","1638425224","2023-04-24 13:14:37","2023-04-24 13:30:05","150.97.96.110","2112290026","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","4","4","","","4","3","はい","いいえ","いいえ","","4","興味があるもの、将来に役立つもの","単位も欲しい","多くのことを学びたい","258.2","47.24","","","","","","210.96","","","","","","","","","","",""
"50","2023-04-24 13:17:39","2","ja","160846241","2023-04-24 13:14:45","2023-04-24 13:17:39","150.97.96.173","2112201555","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","5","5","Pythonを学べてうれしい。","この授業もとい、Python関連の授業単位を獲得すること。","5","5","はい","はい","はい","","5","一度後れを取っても手を差し伸べていただける授業。","単位も欲しい","多くのことを学びたい","174.32","20.44","","","","","","153.88","","","","","","","","","","",""
"51","2023-04-24 13:23:42","2","ja","882922488","2023-04-24 13:15:08","2023-04-24 13:23:42","150.97.96.116","2112201192","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","5","5","Pythonスキルが身に付きやすいと感じました。","Pythonの基礎スキルの定着。","5","5","はい","いいえ","いいえ","","5","身に着けたいスキルが身につく授業","単位も欲しい","多くのことを学びたい","513.84","42.21","","","","","","471.63","","","","","","","","","","",""
"52","2023-04-24 13:26:52","2","ja","1137701832","2023-04-24 13:15:43","2023-04-24 13:26:52","150.97.96.148","2112201923","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","3","3","","","4","4","はい","いいえ","いいえ","","3","","単位も欲しい","ある程度学びたい","174.67","108.94","","","","","","65.73","","","","","","","","","","",""
"53","","","ja","1447730182","2023-04-24 13:15:52","2023-04-24 13:15:52","150.97.96.137","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","0","","","","","","","","","","","","","","","","","",""
"54","2023-04-24 13:30:13","2","ja","1844828658","2023-04-24 13:16:53","2023-04-24 13:30:13","150.97.96.138","2112201281","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","4","5","プログラミング能力が向上しそうな気がした。","プログラミングをできるようになる。","4","4","はい","はい","はい","","4","面白い授業。","単位も欲しい","多くのことを学びたい","214.63","31.82","","","","","","182.81","","","","","","","","","","",""
"55","2023-04-24 13:24:53","2","ja","542787102","2023-04-24 13:16:54","2023-04-24 13:24:53","150.97.96.193","2112201134","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","4","3","内容は大変そうだが、習得できると将来役に立つので意欲的に取り組みたいと思いました。","授業の内容をすべて理解する。","5","5","はい","いいえ","はい","","4","ほかに人と協力して課題に取り組むことができる授業は、意欲的に取り組めると思います。","単位も欲しい","ある程度学びたい","478.25","33.52","","","","","","444.73","","","","","","","","","","",""
"56","2023-04-24 13:18:27","2","ja","989473693","2023-04-24 13:17:23","2023-04-24 13:18:27","150.97.96.189","2112201981","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","3","5","","","4","2","はい","いいえ","はい","","4","","単位も欲しい","多くのことを学びたい","63.57","18.33","","","","","","45.24","","","","","","","","","","",""
"57","","1","ja","1637619526","2023-04-24 13:18:12","2023-04-24 13:18:31","150.97.96.160","2112280044","学部3年","はい","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","","","","","","","N/A","N/A","N/A","","","","","","19.32","19.32","","","","","","","","","","","","","","","","",""
"58","2023-04-24 13:25:44","2","ja","897277158","2023-04-24 13:22:07","2023-04-24 13:25:44","150.97.96.185","2112200543","学部2年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","4","3","","","4","4","はい","いいえ","いいえ","","4","","単位も欲しい","多くのことを学びたい","50.09","15.41","","","","","","34.68","","","","","","","","","","",""
"59","2023-04-24 13:27:38","2","ja","730159679","2023-04-24 13:22:11","2023-04-24 13:27:38","150.97.96.165","2112200786","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","5","5","","自力でpythonを使えるようになること","4","4","はい","はい","はい","","5","","単位も欲しい","多くのことを学びたい","165","24.75","","","","","","140.25","","","","","","","","","","",""
"60","2023-04-24 13:26:24","2","ja","1455125317","2023-04-24 13:24:52","2023-04-24 13:26:24","150.97.96.164","2112200620","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","4","3","","","4","4","はい","はい","はい","","4","","単位も欲しい","ある程度学びたい","87.49","41.17","","","","","","46.32","","","","","","","","","","",""
"61","2023-04-24 13:25:44","2","ja","1550975853","2023-04-24 13:24:52","2023-04-24 13:25:44","172.19.8.141","2112201733","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","5","5","","","5","5","はい","いいえ","はい","","5","","単位も欲しい","多くのことを学びたい","50.48","22.35","","","","","","28.13","","","","","","","","","","",""
"62","2023-04-24 13:26:12","2","ja","163388118","2023-04-24 13:24:54","2023-04-24 13:26:12","150.97.96.131","2112200365","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","4","4","","","4","3","いいえ","いいえ","はい","","4","","単位も欲しい","ある程度学びたい","78.44","22.89","","","","","","55.55","","","","","","","","","","",""
"63","2023-04-24 13:25:55","2","ja","654126485","2023-04-24 13:24:56","2023-04-24 13:25:55","150.97.96.147","2112200466","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","4","4","","","5","4","はい","はい","はい","","4","","単位よりも内容","ある程度学びたい","58.15","20.01","","","","","","38.14","","","","","","","","","","",""
"64","2023-04-24 13:26:54","2","ja","1719957215","2023-04-24 13:24:57","2023-04-24 13:26:54","150.97.96.121","2112200704","学部3年","いいえ","地域未来デザイン工学科","","地域マネジメント工学コース","","3","4","","","4","4","いいえ","いいえ","はい","","4","","単位も欲しい","多くのことを学びたい","88.69","34.03","","","","","","54.66","","","","","","","","","","",""
"65","2023-04-24 13:30:55","2","ja","1245975595","2023-04-24 13:25:00","2023-04-24 13:30:55","150.97.96.115","2112201822","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","4","4","Tech Full などの就職にも役立てることができるような教材を使っていて興味を持ちました。","python の上達。","4","4","はい","いいえ","はい","","4","自分が興味を持つ分野から大きく外れたりしていないもの。","単位も欲しい","ある程度学びたい","356.22","23.4","","","","","","332.82","","","","","","","","","","",""
"66","2023-04-24 13:27:47","2","ja","1887652516","2023-04-24 13:25:03","2023-04-24 13:27:47","150.97.96.130","2112200223","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","3","3","TechFULが勉強に使えそう。","受講する前の自分よりプログラミングができること。","5","4","はい","いいえ","いいえ","","4","楽しそうな授業。","単位も欲しい","ある程度学びたい","162.58","16.59","","","","","","145.99","","","","","","","","","","",""
"67","2023-04-24 13:43:32","2","ja","1183586688","2023-04-24 13:25:03","2023-04-24 13:43:32","150.97.96.127","211220146","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","3","3","","","4","3","はい","いいえ","いいえ","","3","","単位も欲しい","多くのことを学びたい","1108.3","442.63","","","","","","665.67","","","","","","","","","","",""
"68","2023-04-24 13:26:04","2","ja","2128236156","2023-04-24 13:25:05","2023-04-24 13:26:04","150.97.96.154","2112201892","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","5","5","","","5","5","はい","いいえ","いいえ","","5","","単位が欲しい","多くのことを学びたい","58.43","24.67","","","","","","33.76","","","","","","","","","","",""
"69","2023-04-24 13:27:30","2","ja","1785132262","2023-04-24 13:25:06","2023-04-24 13:27:30","150.97.96.188","2112200192","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","4","5","","","5","5","はい","いいえ","はい","去年学んだPythonⅠの知識をアウトプットと感じたため","4","","単位が欲しい","多くのことを学びたい","143.26","29.51","","","","","","113.75","","","","","","","","","","",""
"70","2023-04-24 13:26:41","2","ja","156036841","2023-04-24 13:25:07","2023-04-24 13:26:41","150.97.96.111","2112200911","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","4","4","","","5","3","はい","いいえ","はい","","4","","単位が欲しい","ある程度学びたい","94.03","30.46","","","","","","63.57","","","","","","","","","","",""
"71","","1","ja","2099162409","2023-04-24 13:25:07","2023-04-24 13:25:34","172.18.1.91","1212","学部1年","はい","地球環境工学科","","エネルギー総合工学コース","","","","","","","","N/A","N/A","N/A","","","","","","27.34","27.34","","","","","","","","","","","","","","","","",""
"72","2023-04-24 13:26:17","2","ja","1325221748","2023-04-24 13:25:09","2023-04-24 13:26:17","150.97.96.183","2112200851","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","5","4","","","4","4","はい","いいえ","はい","","4","","単位が欲しい","多くのことを学びたい","68.21","25","","","","","","43.21","","","","","","","","","","",""
"73","2023-04-24 13:26:16","2","ja","684506802","2023-04-24 13:25:09","2023-04-24 13:26:16","150.97.96.170","2112202021","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","4","4","","","4","4","はい","はい","はい","","4","","単位も欲しい","ある程度学びたい","65.97","24.57","","","","","","41.4","","","","","","","","","","",""
"74","2023-04-24 13:26:58","2","ja","711881338","2023-04-24 13:25:09","2023-04-24 13:26:58","150.97.96.191","2112200300","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","4","5","","","5","5","はい","はい","はい","","5","","単位も欲しい","多くのことを学びたい","107.67","21.49","","","","","","86.18","","","","","","","","","","",""
"75","2023-04-24 13:27:21","2","ja","25293824","2023-04-24 13:25:16","2023-04-24 13:27:21","150.97.96.168","2112200336","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","5","4","","プログラミングがある程度できるようにする。","4","5","はい","はい","いいえ","","5","","単位も欲しい","多くのことを学びたい","124.79","25.97","","","","","","98.82","","","","","","","","","","",""
"76","2023-04-24 13:26:06","2","ja","855378730","2023-04-24 13:25:18","2023-04-24 13:26:06","150.97.96.172","2112200656","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","4","4","","","4","5","はい","いいえ","はい","","4","","単位が欲しい","多くのことを学びたい","47.47","21.76","","","","","","25.71","","","","","","","","","","",""
"77","2023-04-24 13:26:43","2","ja","1512150906","2023-04-24 13:25:29","2023-04-24 13:26:43","150.97.96.187","2112201062","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","3","5","","","5","5","はい","いいえ","いいえ","","4","","単位が欲しい","ある程度学びたい","72.74","32.36","","","","","","40.38","","","","","","","","","","",""
"78","2023-04-24 13:27:32","2","ja","1919054523","2023-04-24 13:25:29","2023-04-24 13:27:32","150.97.96.114","2112200370","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","4","4","","","4","4","はい","はい","いいえ","","4","","単位も欲しい","多くのことを学びたい","122.59","62.64","","","","","","59.95","","","","","","","","","","",""
"79","2023-04-24 13:26:30","2","ja","642456644","2023-04-24 13:25:30","2023-04-24 13:26:30","150.97.96.182","2112200151","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","4","4","","","4","4","はい","いいえ","いいえ","","4","","単位も欲しい","ある程度学びたい","59.83","35.58","","","","","","24.25","","","","","","","","","","",""
"80","2023-04-24 13:27:16","2","ja","2054371164","2023-04-24 13:25:35","2023-04-24 13:27:16","150.97.96.192","2112201993","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","4","5","","","4","4","いいえ","はい","はい","","4","","単位も欲しい","多くのことを学びたい","101.32","28.55","","","","","","72.77","","","","","","","","","","",""
"81","2023-04-24 13:28:41","2","ja","376591604","2023-04-24 13:25:57","2023-04-24 13:28:41","150.97.96.133","2112200716","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","5","4","","作成するプログラムに必要な関数をスムーズに思いつけるようにする。","5","5","はい","はい","はい","","5","","単位も欲しい","多くのことを学びたい","164.21","23.86","","","","","","140.35","","","","","","","","","","",""
"82","2023-04-24 13:29:45","2","ja","1869377246","2023-04-24 13:26:59","2023-04-24 13:29:45","150.97.96.169","2112200110","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","5","4","リアルタイムでランキングを見せられるのはかなりしんどい","基礎分野の理解を深め、応用演習をより多く解けるようにする。","5","5","はい","いいえ","はい","","4","","単位よりも内容","多くのことを学びたい","166.64","23.05","","","","","","143.59","","","","","","","","","","",""
"83","2023-04-24 13:40:32","2","ja","794459843","2023-04-24 13:39:00","2023-04-24 13:40:32","150.97.96.132","2112200086","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","4","4","","","4","3","いいえ","はい","はい","","4","","単位が欲しい","多くのことを学びたい","74.66","28.32","","","","","","46.34","","","","","","","","","","",""
"84","","","ja","168150076","2023-04-24 13:46:15","2023-04-24 13:46:15","119.241.148.1","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","0","","","","","","","","","","","","","","","","","",""

